Altium Designer Pick and Place Locations
D:\PCB\FEDEVEL\1_Design_Your_Own_Board\Project Outputs for Design_Your_Own_Board\Pick Place\Pick Place for 28Pins_Projects_V1I1_PCB(FIXED 5V).txt

========================================================================================================================
File Design Information:

Date:       30/08/23
Time:       08:06
Revision:   b4efc6f8afaeb66883beead959a25c8faeb4e235
Variant:    FIXED 5V
Units used: mm

Designator    Comment                     Layer    Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                                               
C34           10uF/16V                    TopLayer C0805                            58.0390mm    33.1978mm    180      "TDK - C2012X5R1C106M085AC - SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 20%, X5R, C Series TDK" 
D1            Green                       TopLayer LED_0603                         58.2930mm    37.3126mm    0        "LED Single Chip Green 570nm 20mA 2-Pin 0603 T/R"                                                                         
D2            "Orange LED"                TopLayer LED_0603                         24.5872mm    42.0370mm    0        "LED Uni-Color Orange 610nm 2-Pin Case 0603 T/R"                                                                          
D3            "Orange LED"                TopLayer LED_0603                         24.5364mm    39.5986mm    0        "LED Uni-Color Orange 610nm 2-Pin Case 0603 T/R"                                                                          
D4            "Orange LED"                TopLayer LED_0603                         24.5364mm    37.9476mm    0        "LED Uni-Color Orange 610nm 2-Pin Case 0603 T/R"                                                                          
D5            BAT54HT1G                   TopLayer SOD323                           1.3208mm     28.3464mm    90       "VR=30V IF=200mA 10pF P=200mW"                                                                                            
D6            BAT54HT1G                   TopLayer SOD323                           61.4934mm    24.4348mm    180      "VR=30V IF=200mA 10pF P=200mW"                                                                                            
FB1           MPZ2012S601AT000            TopLayer C0805                            20.6248mm    19.2176mm    90       "0805 600O ±25% DCR=0.1O 2A"                                                                                              
FB2           MPZ2012S601AT000            TopLayer C0805                            47.1932mm    5.6388mm     0        "0805 600O ±25% DCR=0.1O 2A"                                                                                              
FB3           MPZ2012S601AT000            TopLayer C0805                            44.2722mm    7.0256mm     90       "0805 600O ±25% DCR=0.1O 2A"                                                                                              
FID1          FID_1MMC                    TopLayer FID_40X120D                      10.6172mm    51.4858mm    0        "Fiducial 40mil Diameter, 120mil Mask"                                                                                    
FID2          FID_1MMC                    TopLayer FID_40X120D                      66.7766mm    51.0032mm    180      "Fiducial 40mil Diameter, 120mil Mask"                                                                                    
FID3          FID_1MMC                    TopLayer FID_40X120D                      66.7766mm    2.0066mm     180      "Fiducial 40mil Diameter, 120mil Mask"                                                                                    
FID4          FID_1MMC                    TopLayer FID_40X120D                      22.4282mm    4.1402mm     180      "Fiducial 40mil Diameter, 120mil Mask"                                                                                    
J1            "HRD FEMALE 1x8 2.54mm"     TopLayer HDR_FEMALE_1X8_2.54MM            36.8300mm    2.5400mm     90       "2.54mm (0.1") Pitch SIL Vertical PC Tail Socket Assembly, selective gold + tin, 8 contacts"                              
J2            "HDR FEMALE 1x6 2.54mm"     TopLayer HDR_FEMALE_1X6_2.54MM            57.1500mm    2.5400mm     90       "06-WAY SIL VERT SOCKET L/FREE"                                                                                           
J3            "HRD FEMALE 1x8 2.54mm"     TopLayer HDR_FEMALE_1X8_2.54MM            54.6100mm    50.8000mm    270      "2.54mm (0.1") Pitch SIL Vertical PC Tail Socket Assembly, selective gold + tin, 8 contacts"                              
J4            "HEADER FEMALE 1x10 2.54mm" TopLayer HDR_FEMALE_1X10_2.54MM           30.2260mm    50.8000mm    270      "HARWIN - M20-7821046 - Board-To-Board Connector, M20 Series, Through Hole, Receptacle, 10, 2.54 mm, Tin Plated Contacts" 
